peptide_id,Description,Species,Protein,Library,Feature_role
agilent_signal,Synthetic case-enriched signal peptide,Mock virus alpha,Mock capsid protein,Agilent,case signal
twist_signal,Synthetic control-enriched signal peptide,Mock virus beta,Mock envelope protein,Twist,control signal
agilent_noise_00,Synthetic background peptide 00,Mock virus alpha,Mock protein 00,Agilent,noise
twist_noise_01,Synthetic background peptide 01,Mock bacterium beta,Mock protein 01,Twist,noise
corona2_noise_02,Synthetic background peptide 02,Mock virus gamma,Mock protein 02,Corona2,noise
agilent_noise_03,Synthetic background peptide 03,Mock fungus delta,Mock protein 03,Agilent,noise
twist_noise_04,Synthetic background peptide 04,Mock virus alpha,Mock protein 04,Twist,noise
corona2_noise_05,Synthetic background peptide 05,Mock bacterium beta,Mock protein 05,Corona2,noise
agilent_noise_06,Synthetic background peptide 06,Mock virus gamma,Mock protein 06,Agilent,noise
twist_noise_07,Synthetic background peptide 07,Mock fungus delta,Mock protein 07,Twist,noise
corona2_noise_08,Synthetic background peptide 08,Mock virus alpha,Mock protein 08,Corona2,noise
agilent_noise_09,Synthetic background peptide 09,Mock bacterium beta,Mock protein 09,Agilent,noise
twist_noise_10,Synthetic background peptide 10,Mock virus gamma,Mock protein 10,Twist,noise
corona2_noise_11,Synthetic background peptide 11,Mock fungus delta,Mock protein 11,Corona2,noise
agilent_noise_12,Synthetic background peptide 12,Mock virus alpha,Mock protein 12,Agilent,noise
twist_noise_13,Synthetic background peptide 13,Mock bacterium beta,Mock protein 13,Twist,noise
corona2_noise_14,Synthetic background peptide 14,Mock virus gamma,Mock protein 14,Corona2,noise
agilent_noise_15,Synthetic background peptide 15,Mock fungus delta,Mock protein 15,Agilent,noise
twist_noise_16,Synthetic background peptide 16,Mock virus alpha,Mock protein 16,Twist,noise
corona2_noise_17,Synthetic background peptide 17,Mock bacterium beta,Mock protein 17,Corona2,noise
agilent_noise_18,Synthetic background peptide 18,Mock virus gamma,Mock protein 18,Agilent,noise
twist_noise_19,Synthetic background peptide 19,Mock fungus delta,Mock protein 19,Twist,noise
corona2_noise_20,Synthetic background peptide 20,Mock virus alpha,Mock protein 20,Corona2,noise
agilent_noise_21,Synthetic background peptide 21,Mock bacterium beta,Mock protein 21,Agilent,noise
twist_noise_22,Synthetic background peptide 22,Mock virus gamma,Mock protein 22,Twist,noise
corona2_noise_23,Synthetic background peptide 23,Mock fungus delta,Mock protein 23,Corona2,noise
agilent_noise_24,Synthetic background peptide 24,Mock virus alpha,Mock protein 24,Agilent,noise
twist_noise_25,Synthetic background peptide 25,Mock bacterium beta,Mock protein 25,Twist,noise
corona2_noise_26,Synthetic background peptide 26,Mock virus gamma,Mock protein 26,Corona2,noise
agilent_noise_27,Synthetic background peptide 27,Mock fungus delta,Mock protein 27,Agilent,noise
twist_noise_28,Synthetic background peptide 28,Mock virus alpha,Mock protein 28,Twist,noise
corona2_noise_29,Synthetic background peptide 29,Mock bacterium beta,Mock protein 29,Corona2,noise
agilent_noise_30,Synthetic background peptide 30,Mock virus gamma,Mock protein 30,Agilent,noise
twist_noise_31,Synthetic background peptide 31,Mock fungus delta,Mock protein 31,Twist,noise
corona2_noise_32,Synthetic background peptide 32,Mock virus alpha,Mock protein 32,Corona2,noise
agilent_noise_33,Synthetic background peptide 33,Mock bacterium beta,Mock protein 33,Agilent,noise
twist_noise_34,Synthetic background peptide 34,Mock virus gamma,Mock protein 34,Twist,noise
corona2_noise_35,Synthetic background peptide 35,Mock fungus delta,Mock protein 35,Corona2,noise
agilent_noise_36,Synthetic background peptide 36,Mock virus alpha,Mock protein 36,Agilent,noise
twist_noise_37,Synthetic background peptide 37,Mock bacterium beta,Mock protein 37,Twist,noise
corona2_noise_38,Synthetic background peptide 38,Mock virus gamma,Mock protein 38,Corona2,noise
agilent_noise_39,Synthetic background peptide 39,Mock fungus delta,Mock protein 39,Agilent,noise
twist_noise_40,Synthetic background peptide 40,Mock virus alpha,Mock protein 40,Twist,noise
corona2_noise_41,Synthetic background peptide 41,Mock bacterium beta,Mock protein 41,Corona2,noise
agilent_noise_42,Synthetic background peptide 42,Mock virus gamma,Mock protein 42,Agilent,noise
twist_noise_43,Synthetic background peptide 43,Mock fungus delta,Mock protein 43,Twist,noise
corona2_noise_44,Synthetic background peptide 44,Mock virus alpha,Mock protein 44,Corona2,noise
agilent_noise_45,Synthetic background peptide 45,Mock bacterium beta,Mock protein 45,Agilent,noise
twist_noise_46,Synthetic background peptide 46,Mock virus gamma,Mock protein 46,Twist,noise
corona2_noise_47,Synthetic background peptide 47,Mock fungus delta,Mock protein 47,Corona2,noise
