Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Species,Protein,Library,Feature_role,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
agilent_signal,peptide,Prevalence (%),20.0,80.0,60.0,percentage points,0.08886712727399532,-0.004599458478951278,Synthetic case-enriched signal peptide,Mock virus alpha,Mock capsid protein,Agilent,case signal,0.08886712727399532,0.014201081408388737,100.0,100.0,1,2,2,100.0,1.0,15,True,top-k-frequency
twist_signal,peptide,Prevalence (%),80.0,20.0,-60.0,percentage points,0.08156426525089035,-0.002906167707451293,Synthetic control-enriched signal peptide,Mock virus beta,Mock envelope protein,Twist,control signal,0.08156426525089035,0.00473375364150017,100.0,100.0,2,2,2,100.0,2.0,15,True,top-k-frequency
twist_noise_25,peptide,Prevalence (%),66.66666666666666,33.33333333333333,-33.33333333333333,percentage points,0.042921821946715705,-0.0007501866812740226,Synthetic background peptide 25,Mock bacterium beta,Mock protein 25,Twist,noise,0.042921821946715705,0.009716271881067613,100.0,100.0,3,2,2,100.0,3.0,15,True,top-k-frequency
agilent_noise_03,peptide,Prevalence (%),33.33333333333333,63.33333333333333,30.0,percentage points,0.03198305853268905,-0.0008706622780085339,Synthetic background peptide 03,Mock fungus delta,Mock protein 03,Agilent,noise,0.03198305853268905,0.005504624525556756,100.0,100.0,4,2,2,100.0,4.0,15,True,top-k-frequency
Age,continuous clinical,Mean,56.800999999999995,54.407999999999994,-2.3930000000000007,feature units,0.02647812496711894,-0.00028048183436691146,,,,,,0.02647812496711894,0.0038704561494682993,100.0,100.0,5,2,2,100.0,5.0,15,True,top-k-frequency
Sex,binary clinical,Prevalence (%),56.666666666666664,33.33333333333333,-23.333333333333336,percentage points,0.024189256727030657,-0.0013096502431387473,,,,,,0.024189256727030657,0.000681592899637573,100.0,100.0,6,2,2,100.0,6.0,15,True,top-k-frequency
corona2_noise_26,peptide,Prevalence (%),40.0,66.66666666666666,26.666666666666657,percentage points,0.01658932153540932,-0.0030157002720474697,Synthetic background peptide 26,Mock virus gamma,Mock protein 26,Corona2,noise,0.01658932153540932,0.0012491567542376528,100.0,66.66666666666667,7,2,2,100.0,9.0,15,True,top-k-frequency
BMI,continuous clinical,Mean,26.252333333333333,24.977666666666664,-1.2746666666666684,feature units,0.01633545723568837,0.0061815124252949044,,,,,,0.01633545723568837,0.0007711087993195592,100.0,100.0,8,2,2,100.0,9.0,15,True,top-k-frequency
agilent_noise_30,peptide,Prevalence (%),50.0,70.0,20.0,percentage points,0.016246207525428838,-0.0014390221616243698,Synthetic background peptide 30,Mock virus gamma,Mock protein 30,Agilent,noise,0.016246207525428838,0.0032108219621599585,100.0,66.66666666666667,9,2,2,100.0,9.0,15,True,top-k-frequency
twist_noise_19,peptide,Prevalence (%),63.33333333333333,40.0,-23.33333333333333,percentage points,0.01734416976710148,-0.003966388080846596,Synthetic background peptide 19,Mock fungus delta,Mock protein 19,Twist,noise,0.01734416976710148,0.007742087229492294,100.0,66.66666666666667,10,2,2,100.0,9.5,15,True,top-k-frequency
corona2_noise_41,peptide,Prevalence (%),63.33333333333333,46.666666666666664,-16.666666666666664,percentage points,0.01423296149818162,0.0017474735452423097,Synthetic background peptide 41,Mock bacterium beta,Mock protein 41,Corona2,noise,0.01423296149818162,0.001727015381767744,100.0,83.33333333333333,11,2,2,100.0,12.5,15,False,top-k-frequency
agilent_noise_42,peptide,Prevalence (%),53.333333333333336,43.333333333333336,-10.0,percentage points,0.010749468056263822,-0.0033575067058381316,Synthetic background peptide 42,Mock virus gamma,Mock protein 42,Agilent,noise,0.010749468056263822,0.007551044321677566,100.0,33.333333333333336,12,1,2,50.0,8.0,15,False,top-k-frequency
twist_noise_34,peptide,Prevalence (%),33.33333333333333,50.0,16.66666666666667,percentage points,0.013405701788994563,-0.0014308466868279527,Synthetic background peptide 34,Mock virus gamma,Mock protein 34,Twist,noise,0.013405701788994563,0.004843471514275856,100.0,66.66666666666667,13,1,2,50.0,10.0,15,False,top-k-frequency
corona2_noise_20,peptide,Prevalence (%),43.333333333333336,63.33333333333333,19.999999999999993,percentage points,0.008840594175305359,0.0019573725643307737,Synthetic background peptide 20,Mock virus alpha,Mock protein 20,Corona2,noise,0.008840594175305359,0.006744425047103474,100.0,50.0,14,1,2,50.0,12.0,15,False,top-k-frequency
corona2_noise_23,peptide,Prevalence (%),43.333333333333336,63.33333333333333,19.999999999999993,percentage points,0.010501215100405432,-1.002470239307218e-05,Synthetic background peptide 23,Mock fungus delta,Mock protein 23,Corona2,noise,0.010501215100405432,0.0038236573906309263,100.0,50.0,15,1,2,50.0,13.0,15,False,top-k-frequency
corona2_noise_11,peptide,Prevalence (%),50.0,60.0,10.0,percentage points,0.006315220174589886,-0.0009351160962093742,Synthetic background peptide 11,Mock fungus delta,Mock protein 11,Corona2,noise,0.006315220174589886,0.006327885469934961,100.0,50.0,16,1,2,50.0,13.0,15,False,top-k-frequency
corona2_noise_38,peptide,Prevalence (%),46.666666666666664,56.666666666666664,10.0,percentage points,0.009398807388913633,-0.00156677761208943,Synthetic background peptide 38,Mock virus gamma,Mock protein 38,Corona2,noise,0.009398807388913633,0.00184503891259674,100.0,50.0,17,1,2,50.0,14.0,15,False,top-k-frequency
twist_noise_10,peptide,Prevalence (%),63.33333333333333,56.666666666666664,-6.666666666666664,percentage points,0.008841508588136822,0.0008486107051210352,Synthetic background peptide 10,Mock virus gamma,Mock protein 10,Twist,noise,0.008841508588136822,0.0021184626300540885,100.0,66.66666666666667,18,1,2,50.0,15.0,15,False,top-k-frequency
corona2_noise_05,peptide,Prevalence (%),40.0,40.0,0.0,percentage points,0.004975158727572928,0.00038772140114487626,Synthetic background peptide 05,Mock bacterium beta,Mock protein 05,Corona2,noise,0.004975158727572928,0.007035936947492504,50.0,50.0,19,1,2,50.0,15.0,15,False,top-k-frequency
agilent_noise_33,peptide,Prevalence (%),60.0,46.666666666666664,-13.333333333333336,percentage points,0.009283718637084118,-0.0009896451251278351,Synthetic background peptide 33,Mock bacterium beta,Mock protein 33,Agilent,noise,0.009283718637084118,0.00040333148694691974,100.0,66.66666666666667,20,0,2,0.0,,15,False,top-k-frequency
twist_noise_22,peptide,Prevalence (%),43.333333333333336,56.666666666666664,13.333333333333329,percentage points,0.008638165968242932,0.00015560617266144905,Synthetic background peptide 22,Mock virus gamma,Mock protein 22,Twist,noise,0.008638165968242932,0.0005768416499470518,100.0,50.0,21,0,2,0.0,,15,False,top-k-frequency
twist_noise_07,peptide,Prevalence (%),46.666666666666664,36.666666666666664,-10.0,percentage points,0.00841873257648905,5.090940138143893e-05,Synthetic background peptide 07,Mock fungus delta,Mock protein 07,Twist,noise,0.00841873257648905,0.0018351330881564271,100.0,83.33333333333333,22,0,2,0.0,,15,False,top-k-frequency
twist_noise_40,peptide,Prevalence (%),46.666666666666664,56.666666666666664,10.0,percentage points,0.007793444703028216,0.001598276122297473,Synthetic background peptide 40,Mock virus alpha,Mock protein 40,Twist,noise,0.007793444703028216,0.0003442824794572668,100.0,50.0,23,0,2,0.0,,15,False,top-k-frequency
Smoking,binary clinical,Prevalence (%),63.33333333333333,53.333333333333336,-9.999999999999993,percentage points,0.007786371265098227,-0.0010496618509750384,,,,,,0.007786371265098227,0.001674637102656333,100.0,100.0,24,0,2,0.0,,15,False,top-k-frequency
corona2_noise_35,peptide,Prevalence (%),46.666666666666664,56.666666666666664,10.0,percentage points,0.006455910443591164,-0.000615757272935016,Synthetic background peptide 35,Mock fungus delta,Mock protein 35,Corona2,noise,0.006455910443591164,0.0004301956487002782,100.0,50.0,25,0,2,0.0,,15,False,top-k-frequency
corona2_noise_02,peptide,Prevalence (%),53.333333333333336,50.0,-3.3333333333333357,percentage points,0.006294250379499653,-0.0006441817579353501,Synthetic background peptide 02,Mock virus gamma,Mock protein 02,Corona2,noise,0.006294250379499653,0.0029026932559913596,100.0,50.0,26,0,2,0.0,,15,False,top-k-frequency
