Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Description,Species,Protein,Library,Feature_role,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
agilent_signal,peptide,Prevalence (%),0.0,100.0,100.0,percentage points,0.198949601249634,0.0031996357645622214,Synthetic case-enriched signal peptide,Mock virus alpha,Mock capsid protein,Agilent,case signal,0.198949601249634,0.0,100.0,100.0,1,1,1,100.0,1.0,30,True,mean-abs-shap
twist_signal,peptide,Prevalence (%),100.0,0.0,-100.0,percentage points,0.18715422551418265,0.005153522643161126,Synthetic control-enriched signal peptide,Mock virus beta,Mock envelope protein,Twist,control signal,0.18715422551418265,0.0,100.0,100.0,2,1,1,100.0,2.0,30,True,mean-abs-shap
BMI,continuous clinical,Mean,24.126666666666665,25.93066666666666,1.803999999999995,feature units,0.023729590334396294,0.007526507276084482,,,,,,0.023729590334396294,0.0,100.0,100.0,3,1,1,100.0,3.0,30,True,mean-abs-shap
Age,continuous clinical,Mean,51.602,54.483333333333334,2.8813333333333375,feature units,0.02327514341345837,-0.004222914673153648,,,,,,0.02327514341345837,0.0,100.0,100.0,4,1,1,100.0,4.0,30,True,mean-abs-shap
corona2_noise_32,peptide,Prevalence (%),40.0,53.333333333333336,13.333333333333336,percentage points,0.012546138109575609,0.001166264510952011,Synthetic background peptide 32,Mock virus alpha,Mock protein 32,Corona2,noise,0.012546138109575609,0.0,100.0,33.333333333333336,5,1,1,100.0,5.0,30,True,mean-abs-shap
corona2_noise_41,peptide,Prevalence (%),66.66666666666666,46.666666666666664,-19.999999999999993,percentage points,0.012291918239939074,-0.0009693058060766408,Synthetic background peptide 41,Mock bacterium beta,Mock protein 41,Corona2,noise,0.012291918239939074,0.0,100.0,33.333333333333336,6,1,1,100.0,6.0,30,True,mean-abs-shap
agilent_noise_09,peptide,Prevalence (%),33.33333333333333,60.0,26.66666666666667,percentage points,0.011305968386642407,-0.0035062619819360005,Synthetic background peptide 09,Mock bacterium beta,Mock protein 09,Agilent,noise,0.011305968386642407,0.0,100.0,33.333333333333336,7,1,1,100.0,7.0,30,True,mean-abs-shap
Smoking,binary clinical,Prevalence (%),46.666666666666664,26.666666666666668,-19.999999999999996,percentage points,0.009348839690402188,-0.0005416865734574075,,,,,,0.009348839690402188,0.0,100.0,100.0,8,1,1,100.0,8.0,30,True,mean-abs-shap
Sex,binary clinical,Prevalence (%),66.66666666666666,73.33333333333333,6.666666666666671,percentage points,0.00854933674962474,0.002134210550932365,,,,,,0.00854933674962474,0.0,100.0,100.0,9,1,1,100.0,9.0,30,True,mean-abs-shap
corona2_noise_17,peptide,Prevalence (%),53.333333333333336,33.33333333333333,-20.000000000000007,percentage points,0.007922898968013348,-0.006061776130550641,Synthetic background peptide 17,Mock bacterium beta,Mock protein 17,Corona2,noise,0.007922898968013348,0.0,100.0,33.333333333333336,10,1,1,100.0,10.0,30,True,mean-abs-shap
agilent_noise_39,peptide,Prevalence (%),53.333333333333336,33.33333333333333,-20.000000000000007,percentage points,0.00742524750757594,-0.0019170688135394024,Synthetic background peptide 39,Mock fungus delta,Mock protein 39,Agilent,noise,0.00742524750757594,0.0,100.0,33.333333333333336,11,1,1,100.0,11.0,30,True,mean-abs-shap
corona2_noise_02,peptide,Prevalence (%),53.333333333333336,40.0,-13.333333333333336,percentage points,0.00705068084897129,-0.004641490266949826,Synthetic background peptide 02,Mock virus gamma,Mock protein 02,Corona2,noise,0.00705068084897129,0.0,100.0,33.333333333333336,12,1,1,100.0,12.0,30,True,mean-abs-shap
twist_noise_37,peptide,Prevalence (%),46.666666666666664,20.0,-26.666666666666664,percentage points,0.0047261696829405155,-0.0013406653338945006,Synthetic background peptide 37,Mock bacterium beta,Mock protein 37,Twist,noise,0.0047261696829405155,0.0,100.0,33.333333333333336,13,1,1,100.0,13.0,30,True,mean-abs-shap
twist_noise_13,peptide,Prevalence (%),46.666666666666664,66.66666666666666,19.999999999999993,percentage points,0.0035324266136459764,0.0010210288338658436,Synthetic background peptide 13,Mock bacterium beta,Mock protein 13,Twist,noise,0.0035324266136459764,0.0,100.0,33.333333333333336,14,1,1,100.0,14.0,30,True,mean-abs-shap
twist_noise_31,peptide,Prevalence (%),60.0,46.666666666666664,-13.333333333333336,percentage points,0.0,0.0,Synthetic background peptide 31,Mock fungus delta,Mock protein 31,Twist,noise,0.0,0.0,0.0,0.0,50,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_38,peptide,Prevalence (%),46.666666666666664,46.666666666666664,0.0,percentage points,0.0,0.0,Synthetic background peptide 38,Mock virus gamma,Mock protein 38,Corona2,noise,0.0,0.0,0.0,0.0,38,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_33,peptide,Prevalence (%),53.333333333333336,60.0,6.666666666666664,percentage points,0.0,0.0,Synthetic background peptide 33,Mock bacterium beta,Mock protein 33,Agilent,noise,0.0,0.0,0.0,0.0,25,0,1,0.0,,30,False,mean-abs-shap
twist_noise_34,peptide,Prevalence (%),40.0,46.666666666666664,6.666666666666664,percentage points,0.0,0.0,Synthetic background peptide 34,Mock virus gamma,Mock protein 34,Twist,noise,0.0,0.0,0.0,0.0,51,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_35,peptide,Prevalence (%),73.33333333333333,66.66666666666666,-6.666666666666671,percentage points,0.0,0.0,Synthetic background peptide 35,Mock fungus delta,Mock protein 35,Corona2,noise,0.0,0.0,0.0,0.0,37,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_36,peptide,Prevalence (%),60.0,46.666666666666664,-13.333333333333336,percentage points,0.0,0.0,Synthetic background peptide 36,Mock virus alpha,Mock protein 36,Agilent,noise,0.0,0.0,0.0,0.0,26,0,1,0.0,,30,False,mean-abs-shap
twist_noise_01,peptide,Prevalence (%),46.666666666666664,60.0,13.333333333333336,percentage points,0.0,0.0,Synthetic background peptide 01,Mock bacterium beta,Mock protein 01,Twist,noise,0.0,0.0,0.0,0.0,41,0,1,0.0,,30,True,mean-abs-shap
twist_noise_40,peptide,Prevalence (%),60.0,33.33333333333333,-26.66666666666667,percentage points,0.0,0.0,Synthetic background peptide 40,Mock virus alpha,Mock protein 40,Twist,noise,0.0,0.0,0.0,0.0,52,0,1,0.0,,30,False,mean-abs-shap
